time,latitude,longitude,depth,mag
0.0,0.7484587258800606,0.03572500150020996,0.08238260478817684,0.28846153846153844
1.941772231894845e-07,0.1699805172275748,0.9000460064409022,0.08238260478817684,0.46153846153846156
0.000294242414970336,0.7780832154581121,0.05984837877302818,0.5165139675961754,0.23076923076923073
0.00031000936428693393,0.48110437962048613,0.9081271377992919,0.08238260478817684,0.5576923076923078
0.0003246980872830818,0.48123782326723386,0.9144880283239654,0.08238260478817684,0.25
0.0004627134684589418,0.8667565187221438,0.3231252375332545,0.08238260478817684,0.28846153846153844
0.0005904905238680591,0.635899009848141,0.33876742743984156,0.08912299972539132,0.40384615384615397
0.0007371184488418336,0.7616029250847365,0.012321725041505971,0.5741817909478992,0.21153846153846156
0.0009348632263279644,0.4219888441111317,0.6630128217950508,0.08238260478817684,0.2692307692307693
0.0014246867297247334,0.5087272144973178,0.04588642409937416,0.08238260478817684,0.2692307692307693
0.001425984460732499,0.9464223758306864,0.2748384773868344,0.250143545447737,0.23076923076923073
0.0014450765442393099,0.9533614454615813,0.2683575700598082,0.2611278927528272,0.326923076923077
0.0014660766300269579,0.5683765245936641,0.2593963154841674,0.08238260478817684,0.2692307692307693
0.0014843751196647048,0.45848568149670377,0.49778969055667766,0.08238260478817684,0.17307692307692313
0.0016380525220924813,0.5103285382582932,0.044886284079771244,0.08238260478817684,0.3653846153846154
0.0017576005638713088,0.7579999466225413,0.015162122697177871,0.5165139675961754,0.6538461538461541
0.0018205561966553319,0.9046545143985691,0.11873662312723798,0.22368125421274682,0.21153846153846156
0.0018233530723124058,0.8027035682831138,0.05868821635028887,0.22617769678208552,0.25
0.0018867597751679455,0.18505964931009644,0.6326085651991278,0.08238260478817684,0.34615384615384626
0.0019144523417755632,0.9552963783394273,0.08569199687956308,0.15877374740994082,0.2692307692307693
0.0019219890713921828,0.7691424911259974,0.01764246994579244,0.08238260478817684,0.2692307692307693
0.0019675073483114147,0.8869065093810884,0.15806212869801728,0.37022243303292807,0.25
0.0021875740639869523,0.7202353945928632,0.28515992238913457,0.20296078088723568,0.326923076923077
0.0023698051667953024,0.4107128559609279,0.665173124237393,0.08238260478817684,0.2692307692307693
0.002423929957163784,0.14656115722330454,0.880843318064529,0.08238260478817684,0.326923076923077
0.0024243508754926424,0.17691958685846965,0.9053667513451882,0.08238260478817684,0.5000000000000001
0.0024277206342619984,0.17331660839627427,0.9069269697757689,0.08238260478817684,0.3076923076923078
0.0025355987455282225,0.7613360377912406,0.04880683295661381,0.589909379134733,0.25
0.002547988699657555,0.1704475699911927,0.8998059728361971,0.08238260478817684,0.326923076923077
0.002614440728530232,0.8129120072593341,0.06124857480047208,0.2988241755498415,0.2692307692307693
0.0027448988769043225,0.7677413328351437,0.03952553357470023,0.4922984746735901,0.326923076923077
0.002769689639789963,0.7643385198430701,0.0026003640509668635,0.521257208477919,0.3076923076923078
0.0028464993953309925,0.7489925004670528,0.04376612725781559,0.24764710287839828,0.2692307692307693
0.002901353857873934,0.2827403987296164,0.8793631108355169,0.08238260478817684,0.42307692307692313
0.0030092428237675772,0.87422936294003,0.7442641969875781,0.08238260478817684,0.5384615384615387
0.0030413399569555466,0.7765486135205102,0.05724801472206087,0.4803155503407644,0.23076923076923073
0.003051855678755766,0.876964957698364,0.7401836257075991,0.08238260478817684,0.40384615384615397
0.003052171669019721,0.8117777362619762,0.0764106974976495,0.3422622762563347,0.326923076923077
0.0032771615612510185,0.8331287197416526,0.10197427639869616,0.4551014803904436,0.13461538461538458
0.0032938053232467457,0.9917932157249989,0.0020802912407740237,0.08238260478817684,0.40384615384615397
0.0034009187863170975,0.7662067308975418,0.034204788670413766,0.47831839628529343,0.25
0.003442733223157246,0.605807467506472,0.8604804672654174,0.08238260478817684,0.17307692307692313
0.0034956459134674045,0.7526622007526222,0.048006720940931835,0.25688394038495144,0.2692307692307693
0.003992393463068344,0.8345965998558811,0.07997119596743518,0.318795716104551,0.25
0.00401722040804553,0.7638047452560783,0.04176584721861065,0.29333200189729636,0.34615384615384626
0.004227738669828396,0.599535616109317,0.8339967595463365,0.08238260478817684,0.48076923076923084
0.004228866345006965,0.5921294937148043,0.8404776668733622,0.08238260478817684,0.326923076923077
0.00429505906889216,0.5916624409511859,0.8353169443722122,0.08238260478817684,0.3076923076923078
0.004432713835224922,0.9675064720168669,0.1858260156421898,0.20420900217190502,0.3653846153846154
0.004591431402970025,0.7643385198430701,0.023323265257135795,0.08238260478817684,0.23076923076923073
0.004642910076395168,0.7552643518642077,0.014161982677574958,0.4565993459320468,0.3846153846153846
0.0049458072476034065,0.784154901385145,0.39097473646310466,0.08238260478817684,0.3076923076923078
0.005241252114074335,0.9792495129306895,0.1887064188986458,0.15128441970192474,0.2692307692307693
